age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability,predicted_proba
36,services,married,high.school,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.3440491844488765,0.3440491844488765
32,blue-collar,married,basic.4y,yes,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,0.4720840103634925,0.4720840103634925
29,admin.,single,university.degree,yes,yes,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.5427613478110712,0.5427613478110712
48,management,married,university.degree,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.3687845683256697,0.3687845683256697
56,technician,married,professional.course,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.4598853813682264,0.4598853813682264
36,blue-collar,married,basic.9y,no,no,cellular,may,thu,4,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0,0.3752156656646754,0.3752156656646754
30,blue-collar,married,basic.9y,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.2708222244977644,0.2708222244977644
55,blue-collar,married,basic.4y,yes,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,1,0.5527198117383354,0.5527198117383354
47,management,married,basic.4y,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.36597393710725623,0.36597393710725623
38,blue-collar,married,basic.4y,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.40022132017046996,0.40022132017046996
39,admin.,married,university.degree,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,1,0.5198519746723336,0.5198519746723336
48,blue-collar,married,basic.9y,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.4399954474307108,0.4399954474307108
32,admin.,married,high.school,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,1,0.5766891358403607,0.5766891358403607
31,admin.,single,university.degree,yes,no,cellular,aug,thu,11,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,1,0.5677731721408642,0.5677731721408642
46,admin.,married,high.school,yes,no,cellular,jul,mon,11,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.47404271817621346,0.47404271817621346
30,admin.,single,university.degree,no,no,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.48551273119502397,0.48551273119502397
40,services,divorced,high.school,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,1,0.5686072746889173,0.5686072746889173
34,blue-collar,married,basic.9y,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.5634298756183344,0.5634298756183344
42,management,divorced,high.school,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,1,0.5223879963739567,0.5223879963739567
