age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability,predicted_proba
25,student,single,high.school,yes,no,cellular,oct,fri,1,3,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,0.9659074525709533,0.9659074525709533
59,retired,married,professional.course,yes,no,cellular,aug,fri,2,3,2,success,-1.7,94.027,-38.3,0.905,4991.6,1,0.9659074525709533,0.9659074525709533
44,admin.,single,university.degree,yes,no,cellular,may,fri,4,3,1,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9659074525709533,0.9659074525709533
35,technician,divorced,basic.4y,yes,no,cellular,nov,tue,1,9,4,success,-1.1,94.767,-50.8,1.035,4963.6,1,0.9659074525709533,0.9659074525709533
29,blue-collar,single,basic.9y,no,no,telephone,jun,tue,1,6,2,success,-1.7,94.055,-39.8,0.702,4991.6,1,0.9659074525709533,0.9659074525709533
31,unemployed,single,university.degree,yes,no,cellular,jul,tue,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,1,0.9659074525709533,0.9659074525709533
39,admin.,married,high.school,yes,no,cellular,may,tue,1,3,2,success,-1.8,93.876,-40.0,0.668,5008.7,1,0.9659074525709533,0.9659074525709533
64,retired,married,university.degree,no,no,cellular,mar,fri,1,3,2,success,-1.8,93.369,-34.8,0.653,5008.7,1,0.9659074525709533,0.9659074525709533
60,admin.,married,university.degree,yes,no,cellular,may,wed,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9659074525709533,0.9659074525709533
73,retired,single,professional.course,no,no,cellular,apr,fri,1,6,3,success,-1.8,93.749,-34.6,0.645,5008.7,1,0.9659074525709533,0.9659074525709533
29,technician,married,professional.course,yes,no,cellular,oct,fri,1,5,2,success,-1.1,94.601,-49.5,0.972,4963.6,1,0.9659074525709533,0.9659074525709533
83,retired,married,professional.course,yes,no,cellular,oct,fri,2,4,1,success,-3.4,92.431,-26.9,0.752,5017.5,1,0.9659074525709533,0.9659074525709533
51,services,married,high.school,yes,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,1,0.9659074525709533,0.9659074525709533
40,services,married,high.school,yes,no,cellular,nov,thu,3,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9659074525709533,0.9659074525709533
34,admin.,single,university.degree,no,no,cellular,mar,tue,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0.9659074525709533,0.9659074525709533
36,admin.,married,university.degree,yes,no,cellular,oct,wed,1,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,0.9659074525709533,0.9659074525709533
34,admin.,single,university.degree,no,yes,cellular,mar,tue,1,11,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0.9659074525709533,0.9659074525709533
31,admin.,single,university.degree,yes,no,cellular,jul,fri,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,0.9659074525709533,0.9659074525709533
70,retired,married,basic.4y,no,no,cellular,sep,tue,1,3,2,success,-3.4,92.379,-29.8,0.77,5017.5,1,0.9659074525709533,0.9659074525709533
22,student,single,high.school,yes,yes,telephone,may,thu,2,1,1,success,-1.8,93.876,-40.0,0.699,5008.7,1,0.9659074525709533,0.9659074525709533
92,retired,married,basic.4y,no,yes,cellular,aug,wed,1,3,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,0.9659074525709533,0.9659074525709533
29,admin.,married,high.school,yes,no,cellular,jun,tue,6,3,3,success,-1.7,94.055,-39.8,0.723,4991.6,1,0.9659074525709533,0.9659074525709533
56,retired,married,high.school,no,no,cellular,jun,tue,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,1,0.9659074525709533,0.9659074525709533
75,retired,divorced,high.school,no,no,telephone,apr,tue,1,6,2,success,-1.8,93.749,-34.6,0.642,5008.7,1,0.9659074525709533,0.9659074525709533
50,blue-collar,divorced,professional.course,yes,no,cellular,nov,tue,2,9,3,success,-1.1,94.767,-50.8,1.049,4963.6,1,0.9659074525709533,0.9659074525709533
21,student,single,high.school,no,no,telephone,jul,thu,1,12,1,success,-1.7,94.215,-40.3,0.81,4991.6,1,0.9659074525709533,0.9659074525709533
40,technician,married,professional.course,yes,no,cellular,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9659074525709533,0.9659074525709533
35,services,married,high.school,no,no,cellular,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,0.9659074525709533,0.9659074525709533
31,technician,married,university.degree,yes,yes,cellular,oct,tue,4,6,2,success,-1.1,94.601,-49.5,0.982,4963.6,1,0.9659074525709533,0.9659074525709533
33,services,single,high.school,yes,no,cellular,mar,fri,2,6,1,success,-1.8,93.369,-34.8,0.636,5008.7,1,0.9659074525709533,0.9659074525709533
48,housemaid,married,professional.course,no,no,cellular,jul,wed,3,6,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,0.9659074525709533,0.9659074525709533
57,admin.,married,university.degree,yes,no,cellular,oct,wed,2,3,2,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.9659074525709533,0.9659074525709533
20,student,single,basic.4y,yes,yes,cellular,apr,tue,4,6,1,success,-1.8,93.749,-34.6,0.644,5008.7,1,0.9659074525709533,0.9659074525709533
54,self-employed,married,university.degree,yes,no,cellular,oct,thu,6,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.9659074525709533,0.9659074525709533
38,admin.,married,university.degree,yes,no,cellular,nov,tue,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9659074525709533,0.9659074525709533
72,retired,married,basic.4y,no,no,cellular,oct,fri,1,6,1,success,-3.4,92.431,-26.9,0.72,5017.5,1,0.9659074525709533,0.9659074525709533
52,blue-collar,single,basic.9y,yes,no,cellular,nov,thu,3,9,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9659074525709533,0.9659074525709533
49,admin.,married,high.school,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,0.9659074525709533,0.9659074525709533
28,management,single,university.degree,yes,no,cellular,sep,wed,3,6,1,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.9659074525709533,0.9659074525709533
32,admin.,married,professional.course,no,yes,cellular,oct,tue,1,6,1,success,-3.4,92.431,-26.9,0.742,5017.5,1,0.9659074525709533,0.9659074525709533
45,unemployed,married,high.school,no,no,cellular,sep,wed,4,6,2,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.9659074525709533,0.9659074525709533
44,technician,married,university.degree,yes,no,cellular,may,fri,2,2,1,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9659074525709533,0.9659074525709533
27,admin.,single,university.degree,yes,no,cellular,mar,wed,1,6,2,success,-1.8,93.369,-34.8,0.634,5008.7,1,0.9659074525709533,0.9659074525709533
37,services,married,high.school,no,no,cellular,jul,thu,1,6,2,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.9659074525709533,0.9659074525709533
74,retired,married,professional.course,yes,no,cellular,oct,thu,2,3,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,0.9659074525709533,0.9659074525709533
73,retired,divorced,high.school,no,yes,cellular,dec,tue,3,6,2,success,-3.0,92.713,-33.0,0.707,5023.5,1,0.9659074525709533,0.9659074525709533
18,student,single,high.school,yes,no,telephone,may,tue,1,3,1,success,-1.8,93.876,-40.0,0.668,5008.7,1,0.9659074525709533,0.9659074525709533
23,unemployed,single,basic.9y,yes,no,cellular,oct,thu,1,4,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,0.9659074525709533,0.9659074525709533
54,admin.,married,high.school,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9659074525709533,0.9659074525709533
62,retired,married,university.degree,no,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,0.9659074525709533,0.9659074525709533
31,student,single,university.degree,no,no,cellular,jul,fri,3,6,2,success,-1.7,94.215,-40.3,0.885,4991.6,1,0.9659074525709533,0.9659074525709533
60,unemployed,married,basic.4y,no,no,cellular,nov,thu,2,6,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9659074525709533,0.9659074525709533
48,unemployed,married,professional.course,no,no,telephone,may,wed,1,6,1,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9659074525709533,0.9659074525709533
23,student,single,high.school,no,no,telephone,mar,fri,1,3,1,success,-1.8,93.369,-34.8,0.649,5008.7,1,0.9659074525709533,0.9659074525709533
36,management,divorced,university.degree,no,no,cellular,sep,tue,3,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,1,0.9659074525709533,0.9659074525709533
39,entrepreneur,married,professional.course,no,no,telephone,sep,wed,3,6,1,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.9659074525709533,0.9659074525709533
51,blue-collar,married,basic.9y,yes,no,cellular,aug,wed,1,6,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,0.9659074525709533,0.9659074525709533
29,admin.,married,university.degree,yes,yes,cellular,jul,tue,2,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,0.9659074525709533,0.9659074525709533
39,admin.,divorced,university.degree,yes,no,cellular,mar,thu,1,13,1,success,-1.8,93.369,-34.8,0.65,5008.7,1,0.9659074525709533,0.9659074525709533
49,technician,divorced,professional.course,yes,no,cellular,mar,tue,4,3,1,success,-1.8,93.369,-34.8,0.635,5008.7,1,0.9659074525709533,0.9659074525709533
69,retired,married,high.school,yes,yes,cellular,sep,wed,1,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.9659074525709533,0.9659074525709533
40,admin.,single,basic.9y,yes,no,cellular,may,thu,1,3,3,success,-1.8,93.876,-40.0,0.683,5008.7,1,0.9659074525709533,0.9659074525709533
54,services,divorced,high.school,yes,yes,cellular,oct,wed,4,3,1,success,-1.1,94.601,-49.5,1.016,4963.6,1,0.9659074525709533,0.9659074525709533
48,unemployed,married,professional.course,yes,no,cellular,may,wed,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9659074525709533,0.9659074525709533
46,unemployed,single,university.degree,no,no,cellular,mar,tue,1,10,2,success,-1.8,93.369,-34.8,0.646,5008.7,1,0.9659074525709533,0.9659074525709533
25,services,single,high.school,yes,no,cellular,jun,tue,2,3,3,success,-1.7,94.055,-39.8,0.702,4991.6,1,0.9659074525709533,0.9659074525709533
27,technician,single,professional.course,no,no,cellular,jun,tue,2,3,3,success,-1.7,94.055,-39.8,0.737,4991.6,1,0.9659074525709533,0.9659074525709533
29,admin.,single,university.degree,no,no,cellular,may,thu,1,3,3,success,-1.8,93.876,-40.0,0.683,5008.7,1,0.9659074525709533,0.9659074525709533
31,admin.,single,university.degree,yes,no,cellular,oct,tue,1,3,1,success,-1.1,94.601,-49.5,1.008,4963.6,1,0.9659074525709533,0.9659074525709533
41,admin.,divorced,high.school,yes,no,cellular,aug,fri,1,6,2,success,-1.7,94.027,-38.3,0.905,4991.6,1,0.9659074525709533,0.9659074525709533
40,management,married,university.degree,no,no,telephone,jul,fri,2,3,2,success,-1.7,94.215,-40.3,0.896,4991.6,1,0.9659074525709533,0.9659074525709533
47,admin.,single,basic.9y,yes,yes,cellular,jul,thu,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.9659074525709533,0.9659074525709533
68,retired,divorced,basic.4y,yes,no,cellular,mar,tue,2,11,1,success,-1.8,93.369,-34.8,0.635,5008.7,1,0.9659074525709533,0.9659074525709533
48,admin.,married,university.degree,no,no,telephone,apr,thu,1,6,2,success,-1.8,93.749,-34.6,0.644,5008.7,1,0.9659074525709533,0.9659074525709533
30,technician,married,professional.course,no,no,telephone,aug,wed,1,0,4,success,-1.7,94.027,-38.3,0.89,4991.6,1,0.9659074525709533,0.9659074525709533
31,technician,married,professional.course,yes,no,cellular,jun,tue,5,9,2,success,-1.7,94.055,-39.8,0.723,4991.6,1,0.9659074525709533,0.9659074525709533
32,admin.,single,university.degree,no,no,cellular,oct,fri,2,6,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,0.9659074525709533,0.9659074525709533
68,retired,single,university.degree,yes,no,cellular,sep,fri,1,3,1,success,-3.4,92.379,-29.8,0.741,5017.5,1,0.9659074525709533,0.9659074525709533
34,technician,married,professional.course,yes,no,cellular,nov,tue,1,1,4,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.9659074525709533,0.9659074525709533
52,technician,married,basic.6y,yes,no,cellular,jul,thu,1,3,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.9659074525709533,0.9659074525709533
37,technician,married,professional.course,yes,yes,cellular,mar,wed,1,9,1,success,-1.8,93.369,-34.8,0.644,5008.7,1,0.9659074525709533,0.9659074525709533
63,admin.,married,university.degree,yes,no,cellular,oct,thu,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.9659074525709533,0.9659074525709533
19,student,single,basic.6y,yes,yes,cellular,sep,thu,5,13,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9659074525709533,0.9659074525709533
42,blue-collar,married,basic.9y,yes,no,cellular,aug,fri,1,6,1,success,-1.7,94.027,-38.3,0.898,4991.6,1,0.9659074525709533,0.9659074525709533
78,retired,divorced,basic.4y,yes,no,cellular,nov,fri,2,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9659074525709533,0.9659074525709533
37,admin.,single,university.degree,no,no,cellular,sep,thu,1,3,4,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9659074525709533,0.9659074525709533
31,student,single,university.degree,no,no,cellular,aug,tue,4,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,0.9659074525709533,0.9659074525709533
60,admin.,married,professional.course,yes,yes,cellular,sep,thu,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9659074525709533,0.9659074525709533
34,technician,married,professional.course,no,no,cellular,nov,tue,1,6,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.9659074525709533,0.9659074525709533
66,management,divorced,university.degree,no,no,cellular,sep,tue,1,1,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,0.9659074525709533,0.9659074525709533
34,technician,single,university.degree,yes,yes,cellular,mar,thu,3,3,2,success,-1.8,93.369,-34.8,0.654,5008.7,1,0.9659074525709533,0.9659074525709533
56,technician,married,basic.4y,no,no,cellular,oct,thu,3,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,0.9659074525709533,0.9659074525709533
38,admin.,married,university.degree,no,no,cellular,nov,tue,2,7,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9659074525709533,0.9659074525709533
31,admin.,married,university.degree,yes,no,cellular,sep,fri,2,13,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9659074525709533,0.9659074525709533
32,technician,married,basic.9y,no,no,cellular,sep,wed,1,6,5,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9659074525709533,0.9659074525709533
54,admin.,married,high.school,yes,no,cellular,nov,fri,1,3,3,success,-3.4,92.649,-30.1,0.716,5017.5,1,0.9659074525709533,0.9659074525709533
56,admin.,single,university.degree,no,no,cellular,mar,wed,1,5,1,success,-1.8,93.369,-34.8,0.634,5008.7,1,0.9659074525709533,0.9659074525709533
37,housemaid,married,university.degree,no,no,cellular,oct,thu,1,6,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.9659074525709533,0.9659074525709533
23,student,single,high.school,no,no,cellular,oct,wed,1,3,1,success,-1.1,94.601,-49.5,1.043,4963.6,1,0.9659074525709533,0.9659074525709533
21,student,single,basic.9y,no,no,cellular,mar,wed,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,0.9659074525709533,0.9659074525709533
37,technician,married,university.degree,yes,no,telephone,sep,tue,1,3,2,success,-3.4,92.379,-29.8,0.755,5017.5,1,0.9659074525709533,0.9659074525709533
59,management,married,university.degree,yes,no,cellular,dec,thu,3,6,1,success,-3.0,92.713,-33.0,0.7,5023.5,1,0.9659074525709533,0.9659074525709533
41,admin.,married,university.degree,no,no,telephone,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9659074525709533,0.9659074525709533
81,retired,divorced,basic.4y,yes,no,cellular,oct,thu,2,3,2,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.9659074525709533,0.9659074525709533
76,retired,married,university.degree,no,yes,cellular,dec,thu,3,4,2,success,-3.0,92.713,-33.0,0.712,5023.5,1,0.9659074525709533,0.9659074525709533
30,technician,married,university.degree,no,no,cellular,jun,fri,1,7,1,success,-1.7,94.055,-39.8,0.748,4991.6,1,0.9659074525709533,0.9659074525709533
29,technician,single,professional.course,yes,no,cellular,jun,wed,2,6,1,success,-1.7,94.055,-39.8,0.704,4991.6,1,0.9659074525709533,0.9659074525709533
29,admin.,married,high.school,yes,no,cellular,jun,tue,2,13,1,success,-1.7,94.055,-39.8,0.723,4991.6,1,0.9659074525709533,0.9659074525709533
31,admin.,single,university.degree,yes,no,telephone,mar,tue,1,3,2,success,-1.8,93.369,-34.8,0.646,5008.7,1,0.9659074525709533,0.9659074525709533
78,retired,divorced,basic.4y,yes,no,cellular,may,fri,2,7,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9659074525709533,0.9659074525709533
61,management,married,university.degree,yes,no,cellular,nov,tue,1,3,2,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9659074525709533,0.9659074525709533
35,admin.,married,university.degree,yes,no,cellular,apr,thu,1,10,1,success,-1.8,93.749,-34.6,0.644,5008.7,1,0.9659074525709533,0.9659074525709533
60,retired,married,professional.course,yes,no,cellular,sep,thu,1,3,1,success,-3.4,92.379,-29.8,0.809,5017.5,1,0.9659074525709533,0.9659074525709533
37,unemployed,married,university.degree,yes,no,telephone,jun,tue,3,2,2,success,-1.7,94.055,-39.8,0.723,4991.6,1,0.9659074525709533,0.9659074525709533
26,blue-collar,single,high.school,yes,no,telephone,nov,fri,2,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9659074525709533,0.9659074525709533
55,services,married,basic.9y,yes,no,cellular,dec,wed,1,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,0.9659074525709533,0.9659074525709533
36,management,married,university.degree,no,yes,cellular,nov,wed,3,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9659074525709533,0.9659074525709533
31,technician,divorced,university.degree,no,no,cellular,may,wed,3,7,3,success,-1.8,93.876,-40.0,0.697,5008.7,1,0.9659074525709533,0.9659074525709533
71,admin.,married,basic.4y,yes,yes,cellular,may,fri,4,3,2,success,-1.8,93.876,-40.0,0.684,5008.7,1,0.9659074525709533,0.9659074525709533
47,admin.,divorced,high.school,yes,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,1,0.9659074525709533,0.9659074525709533
66,retired,married,basic.4y,yes,no,cellular,mar,tue,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,0.9659074525709533,0.9659074525709533
30,student,single,professional.course,yes,no,cellular,sep,tue,2,6,1,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.9659074525709533,0.9659074525709533
29,technician,single,professional.course,no,no,cellular,nov,tue,2,1,1,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.9659074525709533,0.9659074525709533
41,technician,divorced,university.degree,no,no,cellular,mar,thu,1,6,1,success,-1.8,93.369,-34.8,0.635,5008.7,1,0.9659074525709533,0.9659074525709533
38,admin.,married,university.degree,no,no,telephone,nov,thu,1,13,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9659074525709533,0.9659074525709533
32,admin.,married,university.degree,yes,no,cellular,oct,wed,2,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,0.9659074525709533,0.9659074525709533
36,admin.,married,university.degree,yes,yes,cellular,jun,fri,1,4,4,success,-1.7,94.055,-39.8,0.748,4991.6,1,0.9659074525709533,0.9659074525709533
27,technician,single,university.degree,yes,no,cellular,sep,thu,1,3,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9659074525709533,0.9659074525709533
24,student,single,high.school,no,no,cellular,jun,wed,6,6,1,success,-1.7,94.055,-39.8,0.727,4991.6,1,0.9659074525709533,0.9659074525709533
42,admin.,married,university.degree,no,no,telephone,dec,fri,5,6,1,success,-3.0,92.713,-33.0,0.71,5023.5,1,0.9659074525709533,0.9659074525709533
80,housemaid,married,basic.4y,yes,yes,cellular,apr,tue,1,12,1,success,-1.8,93.749,-34.6,0.644,5008.7,1,0.9659074525709533,0.9659074525709533
34,admin.,married,university.degree,no,no,cellular,jun,wed,1,3,2,success,-1.7,94.055,-39.8,0.715,4991.6,1,0.9659074525709533,0.9659074525709533
